"time (s)","velocity (m/s)"
9.950000,    -17.682579
9.960000,    -17.682584
9.970000,    -17.682590
9.980000,    -17.682596
9.990000,    -17.682602
10.000000,    -17.682608
10.010000,    -17.682613
10.020000,    -17.682619
10.030000,    -17.682624
10.040000,    -17.682630
10.050000,    -17.682635
10.060000,    -17.682641
10.070000,    -17.682646
10.080000,    -17.682651
10.090000,    -17.682656
10.100000,    -17.682661
10.110000,    -17.682666
10.120000,    -17.682671
10.130000,    -17.682676
10.140000,    -17.682681
10.150000,    -17.682686
10.160000,    -17.682691
10.170000,    -17.682696
10.180000,    -17.682700
10.190000,    -17.682705
10.200000,    -17.682709
10.210000,    -17.682714
10.220000,    -17.682718
10.230000,    -17.682723
10.240000,    -17.682727
10.250000,    -17.682731
10.260000,    -17.682736
10.270000,    -17.682740
10.280000,    -17.682744
10.290000,    -17.682748
10.300000,    -17.682752
10.310000,    -17.682756
10.320000,    -17.682760
10.330000,    -17.682764
10.340000,    -17.682768
10.350000,    -17.682772
10.360000,    -17.682776
10.370000,    -17.682780
10.380000,    -17.682783
10.390000,    -17.682787
10.400000,    -17.682791
10.410000,    -17.682794
10.420000,    -17.682798
10.430000,    -17.682801
10.440000,    -17.682805
10.450000,    -17.682808
10.460000,    -17.682812
10.470000,    -17.682815
10.480000,    -17.682819
10.490000,    -17.682822
10.500000,    -17.682825
10.510000,    -17.682828
10.520000,    -17.682832
10.530000,    -17.682835
10.540000,    -17.682838
10.550000,    -17.682841
10.560000,    -17.682844
10.570000,    -17.682847
10.580000,    -17.682850
10.590000,    -17.682853
10.600000,    -17.682856
10.610000,    -17.682859
10.620000,    -17.682862
10.630000,    -17.682864
10.640000,    -17.682867
10.650000,    -17.682870
10.660000,    -17.682873
10.670000,    -17.682875
10.680000,    -17.682878
10.690000,    -17.682881
10.700000,    -17.682883
10.710000,    -17.682886
10.720000,    -17.682889
10.730000,    -17.682891
10.740000,    -17.682894
10.750000,    -17.682896
10.760000,    -17.682898
10.770000,    -17.682901
10.780000,    -17.682903
10.790000,    -17.682906
10.800000,    -17.682908
10.810000,    -17.682910
10.820000,    -17.682913
10.830000,    -17.682915
10.840000,    -17.682917
10.850000,    -17.682919
10.860000,    -17.682921
10.870000,    -17.682924
10.880000,    -17.682926
10.890000,    -17.682928
10.900000,    -17.682930
10.910000,    -17.682932
10.920000,    -17.682934
10.930000,    -17.682936
10.940000,    -17.682938
10.950000,    -17.682940
10.960000,    -17.682942
10.970000,    -17.682944
10.980000,    -17.682946
10.990000,    -17.682948
11.000000,    -17.682950
11.010000,    -17.682951
11.020000,    -17.682953
11.030000,    -17.682955
11.040000,    -17.682957
11.050000,    -17.682959
11.060000,    -17.682960
11.070000,    -17.682962
11.080000,    -17.682964
11.090000,    -17.682966
11.100000,    -17.682967
11.110000,    -17.682969
11.120000,    -17.682971
11.130000,    -17.682972
11.140000,    -17.682974
11.150000,    -17.682975
11.160000,    -17.682977
11.170000,    -17.682978
11.180000,    -17.682980
11.190000,    -17.682981
11.200000,    -17.682983
11.210000,    -17.682984
11.220000,    -17.682986
11.230000,    -17.682987
11.240000,    -17.682989
11.250000,    -17.682990
11.260000,    -17.682992
11.270000,    -17.682993
11.280000,    -17.682994
11.290000,    -17.682996
11.300000,    -17.682997
11.310000,    -17.682998
11.320000,    -17.683000
11.330000,    -17.683001
11.340000,    -17.683002
11.350000,    -17.683004
11.360000,    -17.683005
11.370000,    -17.683006
11.380000,    -17.683007
11.390000,    -17.683008
11.400000,    -17.683010
11.410000,    -17.683011
11.420000,    -17.683012
11.430000,    -17.683013
11.440000,    -17.683014
11.450000,    -17.683015
11.460000,    -17.683017
11.470000,    -17.683018
11.480000,    -17.683019
11.490000,    -17.683020
11.500000,    -17.683021
11.510000,    -17.683022
11.520000,    -17.683023
11.530000,    -17.683024
11.540000,    -17.683025
11.550000,    -17.683026
11.560000,    -17.683027
11.570000,    -17.683028
11.580000,    -17.683029
11.590000,    -17.683030
